"BehaviorSpace results (NetLogo 6.2.2)"
"AntsSwarmWars.nlogo"
"3 Swarms Baseline 1"
"08/19/2022 20:53:38:047 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-30","30"
"[run number]","spawnChance","spawnRate","witherRate","nutrition","nEnergy","week","initFood","startingCount","nAntlions","nSpiders","spiderStability","antWars","nTrees","nFlowers","nBushes","nPrey","showPS","showPF","showPA","[step]","count workers with [scent = 1]","count workers with [scent = 2]","count workers with [scent = 3]","food1Total","food2Total","food3Total"
"6","5","3","5","230","280","85","500","40","0","0","150","30","25","50","15","25","false","false","false","745","53","53","53","1875","2255","2325"
"5","5","3","5","230","280","85","500","40","0","0","150","30","25","50","15","25","false","false","false","716","50","52","52","1250","2240","1930"
"3","5","2","5","230","280","85","500","40","0","0","150","30","25","50","15","25","false","false","false","879","54","54","52","1620","1865","2345"
"4","5","2","5","230","280","85","500","40","0","0","150","30","25","50","15","25","false","false","false","1580","139","136","143","2430","3485","3390"
"11","10","3","5","230","280","85","500","40","0","0","150","30","25","50","15","25","false","false","false","1573","139","128","121","2560","2440","3385"
"8","10","1","5","230","280","85","500","40","0","0","150","30","25","50","15","25","false","false","false","2000","35","57","36","1250","1280","870"
"7","10","1","5","230","280","85","500","40","0","0","150","30","25","50","15","25","false","false","false","2000","55","33","19","1235","775","725"
"14","15","1","5","230","280","85","500","40","0","0","150","30","25","50","15","25","false","false","false","2000","34","13","18","1075","850","1080"
"13","15","1","5","230","280","85","500","40","0","0","150","30","25","50","15","25","false","false","false","2000","16","25","36","1040","900","780"
"12","10","3","5","230","280","85","500","40","0","0","150","30","25","50","15","25","false","false","false","1764","153","171","152","3715","3995","3705"
"18","15","3","5","230","280","85","500","40","0","0","150","30","25","50","15","25","false","false","false","1501","116","121","121","3235","2170","2040"
"2","5","1","5","230","280","85","500","40","0","0","150","30","25","50","15","25","false","false","false","2000","82","53","64","1405","1060","1275"
"1","5","1","5","230","280","85","500","40","0","0","150","30","25","50","15","25","false","false","false","2000","55","144","141","1370","1845","1765"
"19","20","1","5","230","280","85","500","40","0","0","150","30","25","50","15","25","false","false","false","2000","7","7","32","765","660","760"
"10","10","2","5","230","280","85","500","40","0","0","150","30","25","50","15","25","false","false","false","2000","179","176","182","2600","2990","3105"
"16","15","2","5","230","280","85","500","40","0","0","150","30","25","50","15","25","false","false","false","2000","113","145","126","1795","1890","1715"
"15","15","2","5","230","280","85","500","40","0","0","150","30","25","50","15","25","false","false","false","2000","200","183","72","2400","2205","1425"
"9","10","2","5","230","280","85","500","40","0","0","150","30","25","50","15","25","false","false","false","2000","204","187","197","2365","2185","3560"
"17","15","3","5","230","280","85","500","40","0","0","150","30","25","50","15","25","false","false","false","2000","189","189","193","2695","3745","3725"
"20","20","1","5","230","280","85","500","40","0","0","150","30","25","50","15","25","false","false","false","2000","15","12","11","830","840","645"
"25","25","1","5","230","280","85","500","40","0","0","150","30","25","50","15","25","false","false","false","2000","52","8","54","1095","795","1040"
"26","25","1","5","230","280","85","500","40","0","0","150","30","25","50","15","25","false","false","false","2000","28","15","16","685","850","785"
"23","20","3","5","230","280","85","500","40","0","0","150","30","25","50","15","25","false","false","false","2000","184","189","197","2320","2280","2840"
"22","20","2","5","230","280","85","500","40","0","0","150","30","25","50","15","25","false","false","false","2000","184","174","182","2545","1785","2410"
"24","20","3","5","230","280","85","500","40","0","0","150","30","25","50","15","25","false","false","false","2000","200","188","190","2505","3065","3640"
"21","20","2","5","230","280","85","500","40","0","0","150","30","25","50","15","25","false","false","false","2000","190","174","196","2045","1970","2015"
"28","25","2","5","230","280","85","500","40","0","0","150","30","25","50","15","25","false","false","false","2000","90","95","161","1590","1605","1780"
"27","25","2","5","230","280","85","500","40","0","0","150","30","25","50","15","25","false","false","false","2000","170","177","166","1955","1945","1770"
"29","25","3","5","230","280","85","500","40","0","0","150","30","25","50","15","25","false","false","false","2000","189","186","183","2485","2610","1980"
"30","25","3","5","230","280","85","500","40","0","0","150","30","25","50","15","25","false","false","false","2000","182","189","206","1900","2785","2470"
