"BehaviorSpace results (NetLogo 6.2.2)"
"AntsSwarmWars.nlogo"
"3 Swarms Baseline 2 - Plus Threats"
"08/19/2022 21:33:19:923 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-30","30"
"[run number]","spawnChance","spawnRate","witherRate","nutrition","nEnergy","week","initFood","startingCount","nAntlions","nSpiders","spiderStability","antWars","nTrees","nFlowers","nBushes","nPrey","showPS","showPF","showPA","[step]","count workers with [scent = 1]","count workers with [scent = 2]","count workers with [scent = 3]","food1Total","food2Total","food3Total"
"15","5","1","5","230","280","85","500","40","10","6","150","30","25","50","15","25","false","false","false","2000","9","8","85","635","685","1375"
"14","5","1","5","230","280","85","500","40","10","2","150","30","25","50","15","25","false","false","false","2000","28","72","55","605","1425","1085"
"3","5","1","5","230","280","85","500","40","2","6","150","30","25","50","15","25","false","false","false","2000","36","21","69","970","775","1400"
"9","5","1","5","230","280","85","500","40","6","6","150","30","25","50","15","25","false","false","false","2000","58","27","12","1035","1125","715"
"6","5","1","5","230","280","85","500","40","2","10","150","30","25","50","15","25","false","false","false","2000","17","65","75","875","1055","1425"
"13","5","1","5","230","280","85","500","40","10","2","150","30","25","50","15","25","false","false","false","2000","58","29","41","1055","1135","1130"
"7","5","1","5","230","280","85","500","40","6","2","150","30","25","50","15","25","false","false","false","2000","75","104","23","1310","1690","865"
"10","5","1","5","230","280","85","500","40","6","6","150","30","25","50","15","25","false","false","false","2000","59","72","111","1300","1440","1335"
"1","5","1","5","230","280","85","500","40","2","2","150","30","25","50","15","25","false","false","false","2000","107","97","117","1495","1470","1545"
"11","5","1","5","230","280","85","500","40","6","10","150","30","25","50","15","25","false","false","false","2000","63","36","39","1285","1020","1190"
"12","5","1","5","230","280","85","500","40","6","10","150","30","25","50","15","25","false","false","false","2000","26","50","62","875","1205","1180"
"2","5","1","5","230","280","85","500","40","2","2","150","30","25","50","15","25","false","false","false","2000","36","49","92","1100","1280","1460"
"5","5","1","5","230","280","85","500","40","2","10","150","30","25","50","15","25","false","false","false","2000","131","106","42","1445","1340","1140"
"8","5","1","5","230","280","85","500","40","6","2","150","30","25","50","15","25","false","false","false","2000","45","121","27","1120","1710","1025"
"16","5","1","5","230","280","85","500","40","10","6","150","30","25","50","15","25","false","false","false","2000","66","95","76","1205","1450","1305"
"4","5","1","5","230","280","85","500","40","2","6","150","30","25","50","15","25","false","false","false","2000","108","43","86","1490","1330","1050"
"19","10","1","5","230","280","85","500","40","2","2","150","30","25","50","15","25","false","false","false","2000","26","13","11","710","755","825"
"18","5","1","5","230","280","85","500","40","10","10","150","30","25","50","15","25","false","false","false","2000","14","63","82","800","1160","1305"
"17","5","1","5","230","280","85","500","40","10","10","150","30","25","50","15","25","false","false","false","2000","51","72","30","1095","1205","1005"
"21","10","1","5","230","280","85","500","40","2","6","150","30","25","50","15","25","false","false","false","2000","4","10","23","695","500","810"
"20","10","1","5","230","280","85","500","40","2","2","150","30","25","50","15","25","false","false","false","2000","33","33","20","1000","960","690"
"25","10","1","5","230","280","85","500","40","6","2","150","30","25","50","15","25","false","false","false","2000","21","21","29","1070","775","965"
"23","10","1","5","230","280","85","500","40","2","10","150","30","25","50","15","25","false","false","false","2000","34","34","14","1015","1170","710"
"29","10","1","5","230","280","85","500","40","6","10","150","30","25","50","15","25","false","false","false","2000","48","12","8","1060","800","645"
"27","10","1","5","230","280","85","500","40","6","6","150","30","25","50","15","25","false","false","false","2000","21","11","22","925","595","905"
"28","10","1","5","230","280","85","500","40","6","6","150","30","25","50","15","25","false","false","false","2000","17","21","33","915","985","865"
"30","10","1","5","230","280","85","500","40","6","10","150","30","25","50","15","25","false","false","false","2000","30","40","14","1005","1085","410"
"24","10","1","5","230","280","85","500","40","2","10","150","30","25","50","15","25","false","false","false","2000","42","34","41","1080","895","1045"
"22","10","1","5","230","280","85","500","40","2","6","150","30","25","50","15","25","false","false","false","2000","14","13","31","810","875","1065"
"32","10","1","5","230","280","85","500","40","10","2","150","30","25","50","15","25","false","false","false","2000","20","14","13","680","830","645"
"31","10","1","5","230","280","85","500","40","10","2","150","30","25","50","15","25","false","false","false","2000","22","9","29","900","800","825"
"26","10","1","5","230","280","85","500","40","6","2","150","30","25","50","15","25","false","false","false","2000","20","26","61","895","1020","1195"
"33","10","1","5","230","280","85","500","40","10","6","150","30","25","50","15","25","false","false","false","2000","3","14","24","525","855","875"
"34","10","1","5","230","280","85","500","40","10","6","150","30","25","50","15","25","false","false","false","2000","31","21","2","1025","810","480"
"35","10","1","5","230","280","85","500","40","10","10","150","30","25","50","15","25","false","false","false","2000","8","4","40","535","605","1160"
"36","10","1","5","230","280","85","500","40","10","10","150","30","25","50","15","25","false","false","false","2000","11","11","41","740","565","1125"
