"BehaviorSpace results (NetLogo 6.2.2)"
"AntsSwarmWars.nlogo"
"3 Swarms - 1"
"08/19/2022 03:16:02:617 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-30","30"
"[run number]","nTrees","spawnChance","randomMap?","spawnRate","spiderStability","nutrition","showPS","nPrey","showPF","nAntlions","nSpiders","witherRate","startingCount","initFood","showPA","antWars","nEnergy","week","nFlowers","nBushes","[step]","count workers with [scent = 1]","count workers with [scent = 2]","count workers with [scent = 3]","food1Total","food2Total","food3Total"
"13","0","15","false","2","150","220","false","25","false","6","6","5","35","500","false","24","280","80","50","0","1601","9","30","22","485","1170","815"
"15","0","15","false","2","150","220","false","25","false","6","6","5","35","500","false","24","280","100","50","0","2000","28","33","16","1345","1875","940"
"1","0","15","false","2","150","220","false","25","false","6","6","5","35","500","false","12","270","80","50","0","2000","32","26","19","1855","1520","1225"
"2","0","15","false","2","150","220","false","25","false","6","6","5","35","500","false","12","270","80","50","0","2000","13","17","31","965","1545","1755"
"9","0","15","false","2","150","220","false","25","false","6","6","5","35","500","false","24","270","80","50","0","2000","30","27","30","1745","1450","1570"
"7","0","15","false","2","150","220","false","25","false","6","6","5","35","500","false","12","280","100","50","0","2000","20","35","23","945","1510","1150"
"14","0","15","false","2","150","220","false","25","false","6","6","5","35","500","false","24","280","80","50","0","2000","29","30","10","1635","1630","590"
"5","0","15","false","2","150","220","false","25","false","6","6","5","35","500","false","12","280","80","50","0","2000","28","31","23","1675","1370","1490"
"6","0","15","false","2","150","220","false","25","false","6","6","5","35","500","false","12","280","80","50","0","2000","29","15","25","1475","750","1400"
"11","0","15","false","2","150","220","false","25","false","6","6","5","35","500","false","24","270","100","50","0","2000","31","25","29","2050","1455","1140"
"3","0","15","false","2","150","220","false","25","false","6","6","5","35","500","false","12","270","100","50","0","2000","25","29","28","1585","1640","1420"
"10","0","15","false","2","150","220","false","25","false","6","6","5","35","500","false","24","270","80","50","0","2000","34","26","36","2185","1440","1460"
"8","0","15","false","2","150","220","false","25","false","6","6","5","35","500","false","12","280","100","50","0","2000","30","20","38","1285","810","1975"
