"BehaviorSpace results (NetLogo 6.2.2)"
"AntsVariablesTest.nlogo"
"Baseline"
"08/18/2022 08:57:31:793 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","nTrees","spawnChance","spiderStability","nutrition","showPS","nPrey","showPF","nAntlions","nSpiders","initFood","startingCount","showPA","nEnergy","week","antWars","nFlowers","nBushes","spawnRate","witherRate","[step]","count workers","food1Total","storedFoodTEST","count [bushes in-radius 10] of patch 0 0","count [bushes in-radius 20] of patch 0 0","count [bushes in-radius 30] of patch 0 0"
"2","25","7","100","120","false","25","false","5","2","500","40","false","150","60","35","50","15","1","2","1711","3","905","29","1","3","5"
"6","25","7","100","120","false","25","false","5","2","500","40","false","150","60","35","50","15","1","6","2000","10","1280","71","1","3","5"
"7","25","7","100","120","false","25","false","5","2","500","40","false","150","60","35","50","15","1","10","2000","15","1615","125","1","3","5"
"9","25","7","100","120","false","25","false","5","2","500","40","false","150","60","35","50","15","1","10","1896","8","1550","131","1","3","5"
"1","25","7","100","120","false","25","false","5","2","500","40","false","150","60","35","50","15","1","2","2000","3","1170","54","1","3","5"
"3","25","7","100","120","false","25","false","5","2","500","40","false","150","60","35","50","15","1","2","1621","1","1110","10","1","3","5"
"5","25","7","100","120","false","25","false","5","2","500","40","false","150","60","35","50","15","1","6","2000","21","1570","65","1","3","5"
"4","25","7","100","120","false","25","false","5","2","500","40","false","150","60","35","50","15","1","6","2000","11","1690","55","1","3","5"
"8","25","7","100","120","false","25","false","5","2","500","40","false","150","60","35","50","15","1","10","2000","9","1785","50","1","3","5"
"20","25","7","100","120","false","25","false","5","2","500","40","false","150","60","35","50","15","10","2","697","63","3140","2006","1","3","5"
"22","25","7","100","120","false","25","false","5","2","500","40","false","150","60","35","50","15","10","6","570","51","2825","2008","1","3","5"
"21","25","7","100","120","false","25","false","5","2","500","40","false","150","60","35","50","15","10","2","762","81","3450","2005","1","3","5"
"19","25","7","100","120","false","25","false","5","2","500","40","false","150","60","35","50","15","10","2","950","112","4150","2018","1","3","5"
"24","25","7","100","120","false","25","false","5","2","500","40","false","150","60","35","50","15","10","6","641","51","2985","2003","1","3","5"
"23","25","7","100","120","false","25","false","5","2","500","40","false","150","60","35","50","15","10","6","890","98","3825","2008","1","3","5"
"25","25","7","100","120","false","25","false","5","2","500","40","false","150","60","35","50","15","10","10","651","51","2915","2003","1","3","5"
"26","25","7","100","120","false","25","false","5","2","500","40","false","150","60","35","50","15","10","10","715","69","3160","2005","1","3","5"
"27","25","7","100","120","false","25","false","5","2","500","40","false","150","60","35","50","15","10","10","654","51","3015","2020","1","3","5"
"15","25","7","100","120","false","25","false","5","2","500","40","false","150","60","35","50","15","5","6","2000","312","6930","166","1","3","5"
"14","25","7","100","120","false","25","false","5","2","500","40","false","150","60","35","50","15","5","6","2000","315","7825","1149","1","3","5"
"13","25","7","100","120","false","25","false","5","2","500","40","false","150","60","35","50","15","5","6","2000","327","7775","607","1","3","5"
"16","25","7","100","120","false","25","false","5","2","500","40","false","150","60","35","50","15","5","10","2000","329","7740","712","1","3","5"
"10","25","7","100","120","false","25","false","5","2","500","40","false","150","60","35","50","15","5","2","2000","306","7550","922","1","3","5"
"28","25","7","100","120","false","25","false","5","2","500","40","false","150","120","35","50","15","1","2","2000","35","1630","11","1","3","5"
"37","25","7","100","120","false","25","false","5","2","500","40","false","150","120","35","50","15","5","2","759","50","2455","2005","1","3","5"
"38","25","7","100","120","false","25","false","5","2","500","40","false","150","120","35","50","15","5","2","702","48","2330","2002","1","3","5"
