"BehaviorSpace results (NetLogo 6.2.2)"
"AntsVariablesTest.nlogo"
"Baseline 2"
"08/18/2022 10:52:15:202 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","nTrees","spawnChance","spiderStability","nutrition","showPS","nPrey","showPF","nAntlions","nSpiders","initFood","startingCount","showPA","nEnergy","week","antWars","nFlowers","nBushes","spawnRate","witherRate","[step]","count workers","food1Total","storedFoodTEST","count [bushes in-radius 10] of patch 0 0","count [bushes in-radius 20] of patch 0 0","count [bushes in-radius 30] of patch 0 0"
"13","25","1","100","100","false","25","false","5","2","500","40","false","150","60","35","50","15","2","5","517","52","2780","2003","1","3","5"
"16","25","1","100","100","false","25","false","5","2","500","40","false","150","60","35","50","15","2","10","753","77","3550","2005","1","3","5"
"14","25","1","100","100","false","25","false","5","2","500","40","false","150","60","35","50","15","2","5","684","66","3405","2004","1","3","5"
"10","25","1","100","100","false","25","false","5","2","500","40","false","150","60","35","50","15","2","2","639","53","3215","2010","1","3","5"
"15","25","1","100","100","false","25","false","5","2","500","40","false","150","60","35","50","15","2","5","888","101","4135","2002","1","3","5"
"17","25","1","100","100","false","25","false","5","2","500","40","false","150","60","35","50","15","2","10","569","52","2920","2011","1","3","5"
"20","25","1","100","100","false","25","false","5","2","500","40","false","150","60","35","50","15","10","2","215","48","1970","2012","1","3","5"
"19","25","1","100","100","false","25","false","5","2","500","40","false","150","60","35","50","15","10","2","237","48","1985","2004","1","3","5"
"21","25","1","100","100","false","25","false","5","2","500","40","false","150","60","35","50","15","10","2","225","48","1975","2007","1","3","5"
"12","25","1","100","100","false","25","false","5","2","500","40","false","150","60","35","50","15","2","2","1067","133","5005","2006","1","3","5"
"18","25","1","100","100","false","25","false","5","2","500","40","false","150","60","35","50","15","2","10","506","52","2890","2002","1","3","5"
"22","25","1","100","100","false","25","false","5","2","500","40","false","150","60","35","50","15","10","5","241","48","2005","2012","1","3","5"
"24","25","1","100","100","false","25","false","5","2","500","40","false","150","60","35","50","15","10","5","231","48","1980","2015","1","3","5"
"23","25","1","100","100","false","25","false","5","2","500","40","false","150","60","35","50","15","10","5","240","48","2000","2036","1","3","5"
"11","25","1","100","100","false","25","false","5","2","500","40","false","150","60","35","50","15","2","2","1068","127","4760","2006","1","3","5"
"25","25","1","100","100","false","25","false","5","2","500","40","false","150","60","35","50","15","10","10","203","48","1985","2008","1","3","5"
"27","25","1","100","100","false","25","false","5","2","500","40","false","150","60","35","50","15","10","10","197","48","1920","2001","1","3","5"
"26","25","1","100","100","false","25","false","5","2","500","40","false","150","60","35","50","15","10","10","228","48","1965","2017","1","3","5"
"34","25","1","100","100","false","25","false","5","2","500","40","false","150","80","35","50","15","1","10","922","65","3235","2001","1","3","5"
"1","25","1","100","100","false","25","false","5","2","500","40","false","150","60","35","50","15","1","2","2000","46","4190","10","1","3","5"
"3","25","1","100","100","false","25","false","5","2","500","40","false","150","60","35","50","15","1","2","2000","81","4935","10","1","3","5"
"2","25","1","100","100","false","25","false","5","2","500","40","false","150","60","35","50","15","1","2","2000","55","4565","10","1","3","5"
"4","25","1","100","100","false","25","false","5","2","500","40","false","150","60","35","50","15","1","5","2000","87","5530","41","1","3","5"
"38","25","1","100","100","false","25","false","5","2","500","40","false","150","80","35","50","15","2","2","451","49","2095","2005","1","3","5"
"37","25","1","100","100","false","25","false","5","2","500","40","false","150","80","35","50","15","2","2","592","53","2685","2006","1","3","5"
"39","25","1","100","100","false","25","false","5","2","500","40","false","150","80","35","50","15","2","2","380","49","1975","2001","1","3","5"
"5","25","1","100","100","false","25","false","5","2","500","40","false","150","60","35","50","15","1","5","2000","170","5655","10","1","3","5"
"6","25","1","100","100","false","25","false","5","2","500","40","false","150","60","35","50","15","1","5","2000","242","6655","14","1","3","5"
"9","25","1","100","100","false","25","false","5","2","500","40","false","150","60","35","50","15","1","10","2000","195","6140","26","1","3","5"
"41","25","1","100","100","false","25","false","5","2","500","40","false","150","80","35","50","15","2","5","470","50","2345","2019","1","3","5"
"40","25","1","100","100","false","25","false","5","2","500","40","false","150","80","35","50","15","2","5","545","51","2530","2006","1","3","5"
"45","25","1","100","100","false","25","false","5","2","500","40","false","150","80","35","50","15","2","10","350","51","2050","2001","1","3","5"
"43","25","1","100","100","false","25","false","5","2","500","40","false","150","80","35","50","15","2","10","451","49","2215","2003","1","3","5"
"42","25","1","100","100","false","25","false","5","2","500","40","false","150","80","35","50","15","2","5","521","51","2555","2009","1","3","5"
"46","25","1","100","100","false","25","false","5","2","500","40","false","150","80","35","50","15","10","2","238","44","1920","2002","1","3","5"
"47","25","1","100","100","false","25","false","5","2","500","40","false","150","80","35","50","15","10","2","195","47","1960","2002","1","3","5"
"48","25","1","100","100","false","25","false","5","2","500","40","false","150","80","35","50","15","10","2","203","44","1945","2006","1","3","5"
"29","25","1","100","100","false","25","false","5","2","500","40","false","150","80","35","50","15","1","2","2000","204","5090","297","1","3","5"
"44","25","1","100","100","false","25","false","5","2","500","40","false","150","80","35","50","15","2","10","585","51","2680","2002","1","3","5"
"51","25","1","100","100","false","25","false","5","2","500","40","false","150","80","35","50","15","10","5","212","46","1905","2011","1","3","5"
"8","25","1","100","100","false","25","false","5","2","500","40","false","150","60","35","50","15","1","10","2000","232","6950","10","1","3","5"
"49","25","1","100","100","false","25","false","5","2","500","40","false","150","80","35","50","15","10","5","235","46","2010","2006","1","3","5"
"50","25","1","100","100","false","25","false","5","2","500","40","false","150","80","35","50","15","10","5","227","47","1980","2001","1","3","5"
"52","25","1","100","100","false","25","false","5","2","500","40","false","150","80","35","50","15","10","10","219","46","1935","2007","1","3","5"
"28","25","1","100","100","false","25","false","5","2","500","40","false","150","80","35","50","15","1","2","2000","220","5180","40","1","3","5"
"54","25","1","100","100","false","25","false","5","2","500","40","false","150","80","35","50","15","10","10","207","47","1925","2003","1","3","5"
"53","25","1","100","100","false","25","false","5","2","500","40","false","150","80","35","50","15","10","10","235","47","1970","2007","1","3","5"
"33","25","1","100","100","false","25","false","5","2","500","40","false","150","80","35","50","15","1","5","2000","212","5285","154","1","3","5"
"7","25","1","100","100","false","25","false","5","2","500","40","false","150","60","35","50","15","1","10","2000","242","6605","10","1","3","5"
"32","25","1","100","100","false","25","false","5","2","500","40","false","150","80","35","50","15","1","5","2000","223","6620","1237","1","3","5"
"31","25","1","100","100","false","25","false","5","2","500","40","false","150","80","35","50","15","1","5","2000","226","6310","821","1","3","5"
"30","25","1","100","100","false","25","false","5","2","500","40","false","150","80","35","50","15","1","2","2000","225","5390","56","1","3","5"
"59","25","1","100","100","false","25","false","5","2","500","40","false","150","200","35","50","15","1","5","529","43","2010","2009","1","3","5"
"55","25","1","100","100","false","25","false","5","2","500","40","false","150","200","35","50","15","1","2","591","46","2065","2003","1","3","5"
"60","25","1","100","100","false","25","false","5","2","500","40","false","150","200","35","50","15","1","5","560","46","2045","2006","1","3","5"
"61","25","1","100","100","false","25","false","5","2","500","40","false","150","200","35","50","15","1","10","609","48","2030","2003","1","3","5"
"56","25","1","100","100","false","25","false","5","2","500","40","false","150","200","35","50","15","1","2","743","48","2090","2010","1","3","5"
"57","25","1","100","100","false","25","false","5","2","500","40","false","150","200","35","50","15","1","2","748","48","2140","2004","1","3","5"
"64","25","1","100","100","false","25","false","5","2","500","40","false","150","200","35","50","15","2","2","447","48","2020","2007","1","3","5"
"58","25","1","100","100","false","25","false","5","2","500","40","false","150","200","35","50","15","1","5","777","48","2115","2003","1","3","5"
"66","25","1","100","100","false","25","false","5","2","500","40","false","150","200","35","50","15","2","2","371","46","1975","2006","1","3","5"
"62","25","1","100","100","false","25","false","5","2","500","40","false","150","200","35","50","15","1","10","737","48","2110","2002","1","3","5"
"65","25","1","100","100","false","25","false","5","2","500","40","false","150","200","35","50","15","2","2","407","45","1950","2001","1","3","5"
"67","25","1","100","100","false","25","false","5","2","500","40","false","150","200","35","50","15","2","5","431","47","2005","2008","1","3","5"
"68","25","1","100","100","false","25","false","5","2","500","40","false","150","200","35","50","15","2","5","438","46","2035","2005","1","3","5"
"70","25","1","100","100","false","25","false","5","2","500","40","false","150","200","35","50","15","2","10","401","42","1990","2001","1","3","5"
"75","25","1","100","100","false","25","false","5","2","500","40","false","150","200","35","50","15","10","2","215","44","1895","2008","1","3","5"
"69","25","1","100","100","false","25","false","5","2","500","40","false","150","200","35","50","15","2","5","445","45","2030","2006","1","3","5"
"73","25","1","100","100","false","25","false","5","2","500","40","false","150","200","35","50","15","10","2","227","46","1935","2004","1","3","5"
"74","25","1","100","100","false","25","false","5","2","500","40","false","150","200","35","50","15","10","2","219","44","1975","2001","1","3","5"
"71","25","1","100","100","false","25","false","5","2","500","40","false","150","200","35","50","15","2","10","434","46","2015","2004","1","3","5"
"77","25","1","100","100","false","25","false","5","2","500","40","false","150","200","35","50","15","10","5","194","45","1885","2006","1","3","5"
"76","25","1","100","100","false","25","false","5","2","500","40","false","150","200","35","50","15","10","5","213","42","1935","2013","1","3","5"
"78","25","1","100","100","false","25","false","5","2","500","40","false","150","200","35","50","15","10","5","214","44","1905","2011","1","3","5"
"63","25","1","100","100","false","25","false","5","2","500","40","false","150","200","35","50","15","1","10","894","50","2370","2006","1","3","5"
"72","25","1","100","100","false","25","false","5","2","500","40","false","150","200","35","50","15","2","10","406","46","1965","2007","1","3","5"
"80","25","1","100","100","false","25","false","5","2","500","40","false","150","200","35","50","15","10","10","220","44","1910","2004","1","3","5"
"79","25","1","100","100","false","25","false","5","2","500","40","false","150","200","35","50","15","10","10","246","43","1950","2007","1","3","5"
"81","25","1","100","100","false","25","false","5","2","500","40","false","150","200","35","50","15","10","10","229","44","1965","2001","1","3","5"
"35","25","1","100","100","false","25","false","5","2","500","40","false","150","80","35","50","15","1","10","2000","221","6345","1145","1","3","5"
"36","25","1","100","100","false","25","false","5","2","500","40","false","150","80","35","50","15","1","10","2000","213","6605","1572","1","3","5"
