"BehaviorSpace results (NetLogo 6.2.2)"
"AntsSwarmWars.nlogo"
"Baseline 3 - Plus Threats"
"08/19/2022 18:45:56:837 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-30","30"
"[run number]","nTrees","spawnChance","spiderStability","nutrition","showPS","nPrey","showPF","nAntlions","nSpiders","initFood","startingCount","showPA","nEnergy","week","antWars","nFlowers","nBushes","spawnRate","witherRate","[step]","count workers","food1Total","storedFoodTEST","count [bushes in-radius 10] of patch 0 0","count [bushes in-radius 20] of patch 0 0","count [bushes in-radius 30] of patch 0 0"
"11","25","15","50","230","false","25","false","4","8","500","30","false","280","85","35","50","15","2","5","2000","6","520","10","1","3","5"
"10","25","15","50","230","false","25","false","4","8","500","30","false","280","85","35","50","15","1","5","2000","35","910","10","1","3","5"
"16","25","15","50","230","false","25","false","4","8","500","50","false","280","85","35","50","15","1","5","2000","9","730","10","1","3","5"
"1","25","15","50","230","false","25","false","4","4","500","30","false","280","85","35","50","15","1","5","2000","51","925","10","1","3","5"
"15","25","15","50","230","false","25","false","4","8","500","40","false","280","85","35","50","15","3","5","2000","97","1485","10","1","3","5"
"2","25","15","50","230","false","25","false","4","4","500","30","false","280","85","35","50","15","2","5","2000","157","2070","49","1","3","5"
"4","25","15","50","230","false","25","false","4","4","500","40","false","280","85","35","50","15","1","5","2000","14","945","10","1","3","5"
"3","25","15","50","230","false","25","false","4","4","500","30","false","280","85","35","50","15","3","5","2000","111","1325","10","1","3","5"
"12","25","15","50","230","false","25","false","4","8","500","30","false","280","85","35","50","15","3","5","2000","21","725","10","1","3","5"
"14","25","15","50","230","false","25","false","4","8","500","40","false","280","85","35","50","15","2","5","2000","69","1190","11","1","3","5"
"13","25","15","50","230","false","25","false","4","8","500","40","false","280","85","35","50","15","1","5","2000","3","715","8","1","3","5"
"8","25","15","50","230","false","25","false","4","4","500","50","false","280","85","35","50","15","2","5","2000","163","2240","74","1","3","5"
"9","25","15","50","230","false","25","false","4","4","500","50","false","280","85","35","50","15","3","5","2000","207","3855","1299","1","3","5"
"7","25","15","50","230","false","25","false","4","4","500","50","false","280","85","35","50","15","1","5","2000","27","1065","10","1","3","5"
"6","25","15","50","230","false","25","false","4","4","500","40","false","280","85","35","50","15","3","5","2000","169","2360","178","1","3","5"
"5","25","15","50","230","false","25","false","4","4","500","40","false","280","85","35","50","15","2","5","2000","144","2075","10","1","3","5"
"19","25","15","50","230","false","25","false","4","10","500","30","false","280","85","35","50","15","1","5","2000","1","680","10","1","3","5"
"21","25","15","50","230","false","25","false","4","10","500","30","false","280","85","35","50","15","3","5","2000","3","590","10","1","3","5"
"20","25","15","50","230","false","25","false","4","10","500","30","false","280","85","35","50","15","2","5","2000","18","720","10","1","3","5"
"17","25","15","50","230","false","25","false","4","8","500","50","false","280","85","35","50","15","2","5","2000","124","1930","10","1","3","5"
"22","25","15","50","230","false","25","false","4","10","500","40","false","280","85","35","50","15","1","5","2000","5","795","10","1","3","5"
"18","25","15","50","230","false","25","false","4","8","500","50","false","280","85","35","50","15","3","5","2000","144","1895","10","1","3","5"
"24","25","15","50","230","false","25","false","4","10","500","40","false","280","85","35","50","15","3","5","1986","0","665","10","1","3","5"
"29","25","15","50","230","false","25","false","8","4","500","30","false","280","85","35","50","15","2","5","2000","49","930","10","1","3","5"
"28","25","15","50","230","false","25","false","8","4","500","30","false","280","85","35","50","15","1","5","2000","39","870","18","1","3","5"
"25","25","15","50","230","false","25","false","4","10","500","50","false","280","85","35","50","15","1","5","2000","5","655","10","1","3","5"
"26","25","15","50","230","false","25","false","4","10","500","50","false","280","85","35","50","15","2","5","2000","46","1190","10","1","3","5"
"31","25","15","50","230","false","25","false","8","4","500","40","false","280","85","35","50","15","1","5","2000","19","1060","10","1","3","5"
"27","25","15","50","230","false","25","false","4","10","500","50","false","280","85","35","50","15","3","5","2000","66","1270","10","1","3","5"
"23","25","15","50","230","false","25","false","4","10","500","40","false","280","85","35","50","15","2","5","2000","181","2615","242","1","3","5"
"30","25","15","50","230","false","25","false","8","4","500","30","false","280","85","35","50","15","3","5","2000","165","2870","805","1","3","5"
"32","25","15","50","230","false","25","false","8","4","500","40","false","280","85","35","50","15","2","5","2000","106","1490","10","1","3","5"
"35","25","15","50","230","false","25","false","8","4","500","50","false","280","85","35","50","15","2","5","1916","0","505","10","1","3","5"
"37","25","15","50","230","false","25","false","8","8","500","30","false","280","85","35","50","15","1","5","2000","2","510","9","1","3","5"
